,,,,,,,,
Ubuntu os,,,,,,,,
Package,Package Path,Vuln ID,Severity,Version,Fixed Version,Links,Category,Justification 
linux-libc-dev,,CVE-2022-43945,HIGH,5.4.0-135.152,,"https://access.redhat.com/security/cve/CVE-2022-43945
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-43945
https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=f90497a16e434c2211c66e3de8e77b17868382b8
",,"The Linux kernel NFSD implementation prior to versions 5.19.17 and 
6.0.2 are vulnerable to buffer overflow.

Category 2:
Client is not using particular module"
,,,,,,,,
Java jars,,,,,,,,
Package,Package Path,Vuln ID,Severity,Version,Fixed Version,Links,Category,Justification 
com.amazon.redshift:redshift-jdbc42,opt/truera/deps/trino-server/plugin/redshift/redshift-jdbc42-2.0.0.5.jar,CVE-2022-41828,HIGH,2.0.0.5,2.1.0.8,"https://github.com/advisories/GHSA-5c6q-f783-h888
https://github.com/advisories/GHSA-jc69-hjw2-fm86
https://github.com/aws/amazon-redshift-jdbc-driver/commit/40b143b4698faf90c788ffa89f2d4d8d2ad068b5",,"In Amazon AWS Redshift JDBC Driver (aka amazon-redshift-jdbc-driver or redshift-jdbc42) before 2.1.0.8, the Object Factory does not check the class type when instantiating an object from a class name. This issue has been fixed in version 2.1.0.8.

Category 4:
Would like to fix but constrained due to very prevalent open source packages (e.g., spark) who have not fixed it"
com.fasterxml.jackson.core:jackson-databind,"opt/truera/bin/data-svc-streaming-runner/lib/hadoop-client-runtime-3.3.1.jar
opt/truera/bin/streaming-ingress-service/lib/hadoop-client-runtime-3.3.1.jar
opt/truera/config.default/lib/hadoop-client-runtime-3.3.1.jar
opt/truera/deps/spark/jars/hadoop-client-runtime-3.3.1.jar",CVE-2020-36518,HIGH,2.10.5.1,"2.12.6.1, 2.13.2.1","https://access.redhat.com/security/cve/CVE-2020-36518
https://github.com/FasterXML/jackson-databind/commit/fcfc4998ec23f0b1f7f8a9521c2b317b6c25892b
https://github.com/FasterXML/jackson-databind/issues/2816",,"A flaw was found in the Jackson Databind package. This cause of the issue is due to a Java StackOverflow exception and a denial of service via a significant depth of nested objects.

Truera or it's components do not use rh-sso7-keycloak"
com.fasterxml.jackson.core:jackson-databind,"opt/truera/bin/data-svc-streaming-runner/lib/hadoop-client-runtime-3.3.1.jar
opt/truera/bin/streaming-ingress-service/lib/hadoop-client-runtime-3.3.1.jar
opt/truera/config.default/lib/hadoop-client-runtime-3.3.1.jar
opt/truera/deps/spark/jars/hadoop-client-runtime-3.3.1.jar",CVE-2022-42003,HIGH,2.10.5.1,"2.12.7.1, 2.13.4.1","https://access.redhat.com/security/cve/CVE-2022-42003
https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=51020
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-42003",,"In FasterXML jackson-databind before 2.14.0-rc1, resource exhaustion can occur because of a lack of a check in primitive value deserializers to avoid deep wrapper array nesting, when the UNWRAP_SINGLE_VALUE_ARRAYS feature is enabled. Additional fix version in 2.13.4.1 and 2.12.17.1

We do not have UNWRAP_SINGLE_VALUE_ARRAYS  enabled"
com.fasterxml.jackson.core:jackson-databind,"opt/truera/bin/data-svc-streaming-runner/lib/hadoop-client-runtime-3.3.1.jar
opt/truera/bin/streaming-ingress-service/lib/hadoop-client-runtime-3.3.1.jar
opt/truera/config.default/lib/hadoop-client-runtime-3.3.1.jar
opt/truera/deps/spark/jars/hadoop-client-runtime-3.3.1.jar",CVE-2022-42004,HIGH,2.10.5.1,"2.12.7.1, 2.13.4","https://access.redhat.com/security/cve/CVE-2022-42004
https://bugs.chromium.org/p/oss-fuzz/issues/detail?id=50490
https://cve.mitre.org/cgi-bin/cvename.cgi?name=CVE-2022-42004",,"In FasterXML jackson-databind before 2.13.4, resource exhaustion can occur because of a lack of a check in BeanDeserializer._deserializeFromArray to prevent use of deeply nested arrays. An application is vulnerable only with certain customized choices for deserialization.


We do not use BeanDeserializer._deserializeFromArray"
com.fasterxml.jackson.core:jackson-databind,opt/truera/deps/trino-server/plugin/delta-lake/alluxio-shaded-client-2.7.3.jar,CVE-2020-36518,HIGH,2.11.1,"2.12.6.1, 2.13.2.1","https://access.redhat.com/security/cve/CVE-2020-36518
https://github.com/FasterXML/jackson-databind/commit/fcfc4998ec23f0b1f7f8a9521c2b317b6c25892b
https://github.com/FasterXML/jackson-databind/issues/2816",,"A flaw was found in the Jackson Databind package. This cause of the issue is due to a Java StackOverflow exception and a denial of service via a significant depth of nested objects.

Truera or it's components do not use rh-sso7-keycloak"
